,,,,,
,Park,Traffic Counter,Year,Month,Traffic Count
,Amistad NRA,TRAFFIC COUNT AT BLACK BRUSH POINT,2018,1,"1,463"
,Amistad NRA,TRAFFIC COUNT AT BLACK BRUSH POINT,2018,2,"1,527"
,Amistad NRA,TRAFFIC COUNT AT BLACK BRUSH POINT,2018,3,"3,465"
,Amistad NRA,TRAFFIC COUNT AT BLACK BRUSH POINT,2018,4,"2,945"
,Amistad NRA,TRAFFIC COUNT AT BLACK BRUSH POINT,2018,5,"2,673"
,Amistad NRA,TRAFFIC COUNT AT BLACK BRUSH POINT,2018,6,"2,529"
,Amistad NRA,TRAFFIC COUNT AT BLACK BRUSH POINT,2018,7,"2,504"
,Amistad NRA,TRAFFIC COUNT AT BLACK BRUSH POINT,2018,8,"1,067"
,Amistad NRA,TRAFFIC COUNT AT BLACK BRUSH POINT,2018,9,923
,Amistad NRA,TRAFFIC COUNT AT BLACK BRUSH POINT,2018,10,"1,316"
,Amistad NRA,TRAFFIC COUNT AT BLACK BRUSH POINT,2018,11,"1,371"
,Amistad NRA,TRAFFIC COUNT AT BLACK BRUSH POINT,2018,12,"1,719"
,Amistad NRA,TRAFFIC COUNT AT BLACK BRUSH POINT,2019,1,"2,697"
,Amistad NRA,TRAFFIC COUNT AT BLACK BRUSH POINT,2019,2,"1,577"
,Amistad NRA,TRAFFIC COUNT AT BLACK BRUSH POINT,2019,3,"2,656"
,Amistad NRA,TRAFFIC COUNT AT BLACK BRUSH POINT,2019,4,"2,366"
,Amistad NRA,TRAFFIC COUNT AT BLACK BRUSH POINT,2019,5,"4,194"
,Amistad NRA,TRAFFIC COUNT AT BLACK BRUSH POINT,2019,6,"3,013"
,Amistad NRA,TRAFFIC COUNT AT BLACK BRUSH POINT,2019,7,"5,039"
,Amistad NRA,TRAFFIC COUNT AT BLACK BRUSH POINT,2019,8,"3,149"
,Amistad NRA,TRAFFIC COUNT AT BLACK BRUSH POINT,2019,9,"1,849"
,Amistad NRA,TRAFFIC COUNT AT BLACK BRUSH POINT,2019,10,"2,739"
